title,rating,score,vote,type,director,writter,duration,release date,release country,location,reviews,storyline,budget,Opening weekend USA,gross,Cumulate Worldwide Gross,runtime,sound Mix,Color,Aspect Ratio
Balkanski spijun,8.9,xxx,10.708,Comedy; Drama,Dusan Kovacevic,Dusan Kovacevic,1h 35min,8 October 1,87 (Hungary,Serbia,17,"Ilija Cvorovic, a reformed former Stalinist who spent several years in a prison as a political prisoner, is called in for a routine conversation. He returns home convinced that the police is interested in his subtenant, a businessman returning from Paris to open a tailor shop. Convinced that his subtenant represents the greatest threat to national security Ilija begins his own surveillance operation against him.",xxx,xxx,xxx,xxx,95 min,xxx,xxx,xxx
Qui chante là-bas ?,8.9,xxx,14.363,Adventure; Come,Slobodan Sijan,Dusan Kovacevic,1h 26min,13 January ,982 (France,IMDbPro,35,"On April 5, 1941, a date Serbs will recognize, men on a country road board Krstic's bus for Belgrade: two Gypsies who occasionally sing about misery, an aging war vet, a Nazi sympathizer, a dapper singer, a consumptive, and a man with a shotgun. Krstic is a world-weary cynic, out for a buck; the driver is his son, the simple, cheerful Misko. En route they pick up a priest and young newlyweds going to the seaside. Along the way, mis-adventure strikes: a flat tire, a rickety bridge, a farmer who's plowed the road, a funeral, two feuding families, an army detail, and a lost wallet slow the bus and expose rifts among the travelers. On April 6, amid rumors of war, they reach Belgrade...",xxx,xxx,xxx,xxx,86 min,xxx,xxx,xxx
Kill Bill: The Whole Bloody Affair,8.8,xxx,6.586,Action; Crime;,Quentin Tarantino,Quentin Tarantino,4h 7min,27 March 20,1 (USA,IMDbPro,14,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.",xxx,xxx,xxx,xxx,247 min,xxx,xxx,xxx
Montagne II,8.8,xxx,105.880,Action; Drama;,Alper Caglar,Alper Caglar,2h 15min,1 December ,016 (France,Ankara; Turkey,152,"DAG II; tells the story of a clandestine special forces squad; call sign 'Storm Bringer'. Following the events of the first film, Bekir and Oguz, unlikely best friends, have enrolled in the world famous, perpetually grueling Turkish special forces training. Their first mission begins six years later-- to infiltrate the most barbarous area of modern day Iraq for a rescue mission.",xxx,xxx,xxx,xxx,135 min,xxx,xxx,xxx
The Phantom of the Opera at the Royal Albert Hall,8.8,xxx,8.399,Drama; Music; M,Nick Morris,Richard Stilgoe,2h 17min,2 October 2,11 (UK,Royal Albert Hall; South Kensington; London; England; UK,36,"In 1986, Andrew Lloyd Webber's The Phantom of the Opera arrived on the West End stage at Her Majesty's Theatre. Fast forward 25 years and Phantom has achieved global success, millions of viewers, a film adaptation in 2004 and a musical sequel. Now viewers have the chance to experience this phenomenal show right from their own screens. Filmed at the Royal Albert Hall, this stunning performance brings the show to a bigger stage and celebrates its role as one of the biggest shows in theatre history, with speeches, performances and appearances by the original cast and some of the show's most notable Phantoms, including John Owen-Jones and Colm Wilkinson. Starring Ramin Karimloo and Sierra Boggess, Phantom tells the story of a deformed musical genius who lives in the catacombs of the Paris Opera House. Shunned by society, the Phantom seeks revenge in cruel and often violent acts. The Phantom is in love with chorus girl Christine Daaé and has been secretly training her to replace La ...",xxx,xxx,xxx,xxx,137 min,xxx,xxx,xxx
Les Misérables in Concert: The 25th Anniversary,8.8,xxx,5.566,Drama; Music; M,Nick Morris,Alain Boublil,2h 58min,3 October 2,10 (UK,The O2 Arena; London; England; UK,43,A celebratory 25th anniversary concert performance of the hit musical at The O2 in London.,xxx,xxx,xxx,xxx,178 min,xxx,xxx,xxx
Inception,8.8,74,2.108.740,Action; Adventu,Christopher Nolan,Christopher Nolan,2h 28min,21 July 201, (France,Bedfordshire; England; UK,4235,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.",xxx,xxx,xxx,xxx,148 min,"Dolby Digital
| DTS
| SDDS",Color,2.39 : 1
Saban Oglu Saban,8.8,xxx,16.574,Comedy; Crime;,Ertem Egilmez,Sadik Sendil,1h 30min,1 December ,977 (Turkey,Arzu Film,6,"Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers shaban, after discharge from the army shaban and his friend Ramazan work in a night club as member of the band, they ran again into Husamettin and his in laws, but things gets complicated when the diamond of the family is been stolen and shaban and his friend Ramazan is put in charge of finding the thief.",xxx,xxx,xxx,xxx,90 min,xxx,xxx,xxx
Hababam Sinifi Uyaniyor,8.8,xxx,18.594,Comedy,Ertem Egilmez,Rifat Ilgaz,1h 34min,January 197, (Turkey,Arzu Film,1,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.,xxx,xxx,xxx,xxx,94 min,xxx,xxx,xxx
Kireedam,8.8,xxx,6.442,Action; Drama,Sibi Malayil,A.K. Lohithadas,2h 4min,7 July 1989,(India,Kripa Films,28,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.,xxx,xxx,xxx,xxx,124 min,xxx,xxx,xxx
