title,rating,score,vote,type,director,writter,duration,release date,release country,location,reviews,storyline,budget,Opening weekend USA,gross,Cumulate Worldwide Gross,runtime,sound Mix,Color,Aspect Ratio 
La harpe de Birmanie,8.1,xxx,5.496,Drama; Music; W,Kon Ichikawa,Michio Takeyama,1h 56min,26 April 19,7 (France,xxx,50,"Mizushima is a soldier in the Japanese army in Burma in World War II. He's a good soldier and frequently plays his harp to entertain his fellow soldiers. When the war comes to an end, he is asked by the British to go into the mountains to try and convince a Japanese troop to surrender. Given only 30 minutes to convince them, Mizushima is unsuccessful - they would rather die with honor - and the British attack. Deeply affected by what has happened, he becomes a Buddhist monk, traveling the countryside burying the remains of Japanese soldiers. He is unable however to rejoin his brothers-in-arms.",xxx,xxx,xxx,xxx,116 min,xxx,xxx,xxx
Du rififi chez les hommes,8.1,97,30.361,Crime; Drama; T,Jules Dassin,Auguste Le Breton,1h 58min,13 April 19,5 (France,xxx,138,"After five years in prison, Tony le Stéphanois meets his dearest friends Jo and the Italian Mario Ferrati and they invite Tony to steal a couple of jewels from the show-window of the famous jewelry Mappin & Webb Ltd, but he declines. Tony finds his former girlfriend Mado, who became the lover of the gangster owner of the night-club L' Âge d' Or Louis Grutter, and he humiliates her, beating on her back for being unfaithful. Then he calls Jo and Mario and proposes a burglary of the safe of the jewelry. They invite the Italian specialist in safes and elegant wolf Cesar to join their team and they plot a perfect heist. They are successful in their plan, but the Don Juan Cesar makes things go wrong when he gives a valuable ring to his mistress.",xxx,xxx,xxx,xxx,118 min,io: 1.37 : 1,xxx,xxx
Sur les quais...,8.1,91,144.389,Crime; Drama; T,Elia Kazan,Budd Schulberg,1h 48min,14 January ,955 (France,5th Street Pier; Hoboken; New Jersey; USA,353,"Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny's thugs, and later meets the dead man's sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers.",xxx,xxx,xxx,xxx,108 min,xxx,xxx,xxx
Le salaire de la peur,8.1,85,55.795,Adventure; Dram,Henri-Georges Clouzot,Georges Arnaud,2h 36min,22 April 19,3 (France,xxx,178,In the Central American jungle supplies of nitroglycerin are needed at a remote oil field. The oil company pays four men to deliver the supplies in two trucks. A tense rivalry develops between the two sets of drivers and on the rough remote roads the slightest jolt can result in death.,xxx,xxx,xxx,xxx,156 min,xxx,xxx,xxx
La vie d'O'Haru femme galante,8.1,xxx,6.332,Drama,Kenji Mizoguchi,Saikaku Ihara,2h 28min,3 February ,954 (France,xxx,30,"A fifty-year-old prostitute, no longer able to attract men, looks back on her sad life. Once a lady-in-waiting at the imperial court at Kyoto, Oharu fell in love with, and became the lover of, a man below her station. They were discovered, and Oharu and her family were exiled. For Oharu there followed a life filled with one sorrow and humiliation after another.",xxx,xxx,xxx,xxx,148 min,xxx,xxx,xxx
Les Feux de la rampe,8.1,xxx,18.593,Drama; Music; R,Charles Chaplin,Charles Chaplin,2h 17min,31 October ,952 (France,RKO-Pathé Studios - 9336 Washington Blvd.; Culver City; California; USA,118,"Chaplin's final American film tells the story of a fading music hall comedian's effort to help a despondent ballet dancer learn both to walk and feel confident about life again. The highlight of the film is the classic duet with Chaplin's only real artistic film comedy rival, Buster Keaton.",xxx,xxx,xxx,xxx,137 min,xxx,xxx,xxx
Scrooge,8.1,xxx,20.632,Drama; Fantasy,Brian Desmond Hurst,Charles Dickens,1h 26min,30 November,1951 (UK,xxx,255,"Stubbornly refusing to believe in Christmas, and to be separated from his inexhaustible wealth, the Victorian money lender and parsimonious recluse, Ebenezer Scrooge (Alastair Sim), can't be bothered with the poor and destitute at the most festive time of the year. Intent on spending the holy night alone, instead, the sceptical curmudgeon is visited by an unexpected and sympathetic friend, Jacob Marley (Sir Michael Hordern), who will pave the way for the inevitable visitation of the otherworldly spirits of Christmas Past (Michael Dolan), Present (Francis De Wolff), and Yet to Come (Czeslaw Konarski). But, what do the pale ghosts want? Can a wicked old miser admit the error in his ways, and embrace change? In the end, is Scrooge ready to love and be loved?",xxx,xxx,xxx,xxx,86 min,xxx,xxx,xxx
Le gouffre aux chimères,8.1,72,32.273,Drama; Film-Noi,Billy Wilder,Billy Wilder,1h 51min,2 April 195, (France,xxx,191,"Charles Tatum, a down-on-his-luck reporter, takes a job with a small New Mexico newspaper. The job is pretty boring until he finds a man trapped in an old Indian dwelling. He jumps at the chance to make a name for himself by taking over and prolonging the rescue effort, and feeding stories to major newspapers. He creates a national media sensation and milks it for all it is worth - until things go terribly wrong.",xxx,xxx,xxx,xxx,111 min,xxx,xxx,xxx
L'enfer est à lui,8.1,xxx,30.276,Action; Crime;,Raoul Walsh,Ivan Goff,1h 54min,20 April 19,0 (France,xxx,194,"Cody Jarrett is the sadistic leader of a ruthless gang of thieves. Afflicted by terrible headaches and fiercely devoted to his 'Ma,' Cody is a volatile, violent, and eccentric leader. Cody's top henchman wants to lead the gang and attempts to have an 'accident' happen to Cody, while he is running the gang from in jail. But Cody is saved by an undercover cop, who thereby befriends him and infiltrates the gang. Finally, the stage is set for Cody's ultimate betrayal and downfall, during a big heist at a chemical plant.",xxx,xxx,xxx,xxx,114 min,xxx,xxx,xxx
Le troisième homme,8.1,97,161.238,Film-Noir; Myst,Carol Reed,Graham Greene,1h 44min,12 October ,949 (France,xxx,493,"An out of work pulp fiction novelist, Holly Martins, arrives in a post war Vienna divided into sectors by the victorious allies, and where a shortage of supplies has led to a flourishing black market. He arrives at the invitation of an ex-school friend, Harry Lime, who has offered him a job, only to discover that Lime has recently died in a peculiar traffic accident. From talking to Lime's friends and associates Martins soon notices that some of the stories are inconsistent, and determines to discover what really happened to Harry Lime.",xxx,xxx,xxx,xxx,104 min,io: 1.37 : 1,xxx,xxx
Les chaussons rouges,8.1,xxx,31.626,Drama; Music; R,Michael Powell,Hans Christian Andersen,2h 15min,10 June 194, (France,xxx,184,"Under the authoritarian rule of charismatic ballet impressario Boris Lermontov, his proteges realize the full promise of their talents, but at a price: utter devotion to their art and complete loyalty to Lermontov himself. Under his near-obsessive guidance, young ballerina Victoria Page is poised for superstardom, but earns Lermontov's scorn when she falls in love with Julian Craster, composer of ""The Red Shoes,"" the ballet Lermontov is staging to showcase her talents. Vicky leaves the company and marries Craster, but still finds herself torn between Lermontov's demands and those of her heart.",xxx,xxx,xxx,xxx,135 min,xxx,xxx,xxx
"Rome, ville ouverte",8.1,xxx,24.052,Drama; Thriller,Roberto Rossellini,Sergio Amidei,1h 43min,13 November,1946 (France,xxx,77,"The location: Nazi occupied Rome. As Rome is classified an open city, most Romans can wander the streets without fear of the city being bombed or them being killed in the process. But life for Romans is still difficult with the Nazi occupation as there is a curfew, basic foods are rationed, and the Nazis are still searching for those working for the resistance and will go to any length to quash those in the resistance and anyone providing them with assistance. War worn widowed mother Pina is about to get married to her next door neighbor Francesco. Despite their situation - Pina being pregnant, and Francesco being an atheist - Pina and Francesco will be wed by Catholic priest Don Pietro Pelligrini. The day before the wedding, Francesco's friend, Giorgio Manfredi, who Pina has never met, comes looking for Francesco as he, working for the resistance, needs a place to hide out. For his latest mission, Giorgio also requests the assistance of Don Pietro, who is more than willing as he sees...",xxx,xxx,xxx,xxx,103 min,xxx,xxx,xxx
Une question de vie ou de mort,8.1,xxx,20.036,Comedy; Drama;,Michael Powell,Michael Powell,1h 44min,24 June 194, (France,xxx,193,"Returning to England from a bombing run in May 1945, pilot Peter Carter's plane is damaged and his parachute ripped to shreds. He has his crew bail out safely, but figures it is curtains for himself. He gets on the radio, and talks to June, a young American woman working for the U.S. Army Air Forces, and they are quite moved by each other's voices. Then he jumps, preferring this to burning up with his plane. He wakes up in the surf. It was his time to die, but there was a mix-up in heaven. They couldn't find him in all that fog. By the time his ""Conductor"" catches up with him twenty hours later, Peter and June have met and fallen in love. This changes everything, and since it happened through no fault of his own, Peter figures that heaven owes him a second chance. Heaven agrees to a trial to decide his fate.",xxx,xxx,xxx,xxx,104 min,xxx,xxx,xxx
Jour de colère,8.1,xxx,9.393,Drama; History,Carl Theodor Dreyer,Thorkild Roose,1h 37min,16 April 19,7 (France,Palladium,49,"In a 17th-century Danish village, an old woman is accused of witchcraft. In the shadow of her flight, capture, confession, and burning at the stake, the young wife of the town's aging pastor falls in love with the pastor's son. Her confession of this illicit affair to her husband brings on her husband's death. At the funeral the pastor's mother denounces the young widow as a witch. Will the widow's lover come to her defense, or has the day of wrath returned?",xxx,xxx,xxx,xxx,97 min,xxx,xxx,xxx
Colonel Blimp,8.1,xxx,13.430,Drama; Romance;,Michael Powell,Michael Powell,2h 43min,15 August 1,52 (France,xxx,107,"Portrays in warm-hearted detail the life and loves of one extraordinary man. We meet the imposingly rotund General Clive Wynne-Candy, a blustering old duffer who seems the epitome of stuffy, outmoded values. Traveling backwards 40 years we see a different man altogether: the young and dashing officer ""Sugar"" Candy. Through a series of relationships with three women and his lifelong friendship with a German officer, we see Candy's life unfold and come to understand how difficult it is for him to adapt his sense of military honor to modern notions of ""total war.""",xxx,xxx,xxx,xxx,163 min,xxx,xxx,xxx
Rendez-vous,8.1,96,28.983,Comedy; Drama;,Ernst Lubitsch,Samson Raphaelson,1h 39min,10 August 1,45 (France,xxx,172,"In Budapest, Hungary, the Matuschek and Company store is owned by Mr. Hugo Matuschek and the bachelor Alfred Kralik is his best and most experienced salesman. When Klara Novak seeks a job position of saleswoman in the store, Matuschek hires her but Kralik and she do not get along. Meanwhile the lonely and dedicated Kralik has an unknown pen pal that he intends to propose very soon; however, he is fired without explanation by Matuschek on the night that he is going to meet his secret love. He goes to the bar where they have scheduled their meeting with his colleague Pirovitch and he surprisingly finds that Klara is his correspondent; however, ashamed After being let go he does not disclose his identity to her. When Matuschek discovers that he had misjudged Kralik and committed a mistake, he hires him again for the position of manager. But Klara is still fascinated with her correspondent and does not pay much attention to Alfred. Alfred works out a plan to reveal himself to Klara's who ...",xxx,xxx,xxx,xxx,99 min,xxx,xxx,xxx
Rebecca,8.1,86,126.184,Drama; Mystery;,Alfred Hitchcock,Daphne Du Maurier,2h 10min,22 May 1947,(France,xxx,365,"A shy lady's companion, staying in Monte Carlo with her stuffy employer, meets the wealthy Maxim de Winter (Sir Laurence Olivier). She and Max fall in love, marry, and return to Manderley, his large country estate in Cornwall. Max is still troubled by the death of his first wife, Rebecca, in a boating accident the year before. The second Mrs. de Winter (Joan Fontaine) clashes with the housekeeper, Mrs. Danvers (Dame Judith Anderson), and discovers that Rebecca still has a strange hold on everyone at Manderley.",xxx,xxx,xxx,xxx,130 min,xxx,xxx,xxx
Mr. Smith au sénat,8.1,73,108.539,Comedy; Drama,Frank Capra,Sidney Buchman,2h 9min,19 January ,940 (France,xxx,310,"Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed on a lark by the spineless governor of his state. He is reunited with the state's senior senator--presidential hopeful and childhood hero, Senator Joseph Paine. In Washington, however, Smith discovers many of the shortcomings of the political process as his earnest goal of a national boys' camp leads to a conflict with the state political boss, Jim Taylor. Taylor first tries to corrupt Smith and then later attempts to destroy Smith through a scandal.",xxx,xxx,xxx,xxx,129 min,ack and White,Ratio: 1.37 : 1,xxx
Autant en emporte le vent,8.1,97,294.196,Drama; History;,Victor Fleming,Margaret Mitchell,3h 58min,20 May 1950,(France,The Old Mill Park; Little Rock; Arkansas; USA,906,"Scarlett is a woman who can deal with a nation at war, Atlanta burning, the Union Army carrying off everything from her beloved Tara, the carpetbaggers who arrive after the war. Scarlett is beautiful. She has vitality. But Ashley, the man she has wanted for so long, is going to marry his placid cousin, Melanie. Mammy warns Scarlett to behave herself at the party at Twelve Oaks. There is a new man there that day, the day the Civil War begins. Rhett Butler. Scarlett does not know he is in the room when she pleads with Ashley to choose her instead of Melanie.",xxx,xxx,xxx,xxx,238 min,"Mono
(Western Electric Sound System)","Color
(Technicolor)",1.37 : 1
La grande illusion,8.1,xxx,34.309,Drama; War,Jean Renoir,Charles Spaak,1h 53min,1937 (Austr,a,xxx,141,"At the height of World War I, the German ace aviator, Captain von Rauffenstein, shoots down the plane of the aristocratic French pilot, Captain de Boeldieu, and his co-pilot, the working-class civilian mechanic, Lieutenant Maréchal, during an air-reconnaissance mission. As the captured officers find themselves in the Hallbach POW camp for officers, they befriend the wealthy former Jewish banker, Lieutenant Rosenthal, and along with a handful of determined compatriots, they organise an escape. However, fate has other plans in store for them, and shortly before the implementation of the plan, they are transferred by train to the impregnable Wintersborn fortress-prison in Alsace, France, overseen by Rauffenstein himself. More and more, respect and appreciation bond von Rauffenstein and de Boeldieu. But, will this delicate relationship, and the grand illusion, stand in the way of breaking out?",xxx,xxx,xxx,xxx,113 min,xxx,xxx,xxx
New York - Miami,8.1,87,95.833,Comedy; Romance,Frank Capra,Robert Riskin,1h 45min,12 Septembe, 1934 (France,xxx,319,"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what (he thinks!) he wants .... a really juicy newspaper story.",xxx,xxx,xxx,xxx,105 min,xxx,xxx,xxx
La passion de Jeanne d'Arc,8.1,xxx,49.041,Biography; Dram,Carl Theodor Dreyer,Joseph Delteil,1h 50min,25 October ,928 (France,xxx,210,"Giovanna is taken to the Inquisition court. . After the accusation of blasphemy continues to pray in ecstasy . A friar thinks that Giovanna is a saint, but is taken away by the soldiers. Giovanna sees a cross in the shadow and feels comforted. She is not considered a daughter of God but a daughter of the devil and is sentenced to torture. Giovanna D 'Arco says that even if she dies she will not deny anything. The eyes are twisted by terror in front of the torture wheel and faint. Giovanna is taken to a bed where they are bleeding. Giovanna feels that she is about to die and asks to be buried in a consecrated area. Giovanna burns at the stake while devoted ladies cry.",xxx,xxx,xxx,xxx,110 min,io: 1.33 : 1,xxx,xxx
La foule,8.1,xxx,7.628,Drama; Romance,King Vidor,King Vidor,1h 38min,3 March 192, (USA,Metro-Goldwyn-Mayer (MGM),69,"Born on the fourth of July, 1900, the future holds unlimited potential for newborn John Sims. But dreams soon fade with the death of his father when John is but a lad. Like many before him, John sets out to make his mark in New York City, but ends up a faceless worker (#137) in a large office of a large business. Still he is happy with his fate and soon meets a young woman named Mary on a blind double date. Things take their course and they soon marry and live in a small apartment. Soon John is bickering with Mary and finds that he has no love for the in-laws. When the marriage looks like a bust, he finds that Mary is with child and he stays. After 5 years, he has a son and a daughter and the same dead end job. When tragedy strikes, John must find the conviction to continue or lose what little he has left.",xxx,xxx,xxx,xxx,98 min,xxx,xxx,xxx
Le cirque,8.1,90,30.889,Comedy; Romance,Charles Chaplin,Charles Chaplin,1h 12min,29 January ,928 (Canada,Chaplin Studios - 1416 N. La Brea Avenue; Hollywood; Los Angeles; California; USA,342,"The Tramp finds himself at a circus where he is promptly chased around by the police who think he is a pickpocket. Running into the Bigtop, he is an accidental sensation with his hilarious efforts to elude the police. The circus owner immediately hires him, but discovers that the Tramp cannot be funny on purpose, so he takes advantage of the situation by making the Tramp a janitor who just happens to always be in the Bigtop at showtime. Unaware of this exploitation, the Tramp falls for the owner's lovely acrobatic stepdaughter, who is abused by her father. His chances seem good, until a dashing rival comes in and Charlie feels he has to compete with him.",xxx,xxx,xxx,xxx,72 min,io: 1.33 : 1,xxx,xxx
L'opérateur,8.1,xxx,10.839,Comedy; Drama;,Edward Sedgwick,Clyde Bruckman,1h 16min,22 Septembe, 1928 (USA,xxx,68,"After becoming infatuated with a pretty office worker for MGM Newsreels, Buster trades in his tintype operation for a movie camera and sets out to impress the girl (and MGM) with his work.",xxx,xxx,xxx,xxx,76 min,xxx,xxx,xxx
L'aurore,8.1,xxx,47.399,Drama; Romance,F.W. Murnau,Carl Mayer,1h 34min,11 October ,928 (France,xxx,268,"In this fable-morality subtitled ""A Song of Two Humans"", the ""evil"" temptress is a city woman who bewitches farmer Anses and tries to convince him to murder his neglected wife, Indre.",xxx,xxx,xxx,xxx,94 min,xxx,xxx,xxx
Napoléon,8.1,xxx,7.144,Biography; Dram,Abel Gance,Abel Gance,5h 30min,7 April 192, (France,xxx,70,"A massive six-hour biopic of Napoleon, tracing his career from his schooldays (where a snowball fight is staged like a military campaign), his flight from Corsica, through the French Revolution (where a real storm is intercut with a political storm) and the Terror, culminating in his triumphant invasion of Italy in 1797 (the film stops there because it was intended to be part one of six, but director Abel Gance never raised the money to make the other five). The film's legendary reputation is due to the astonishing range of techniques that Gance uses to tell his story, culminating in the final twenty-minute triptych sequence, which alternates widescreen panoramas with complex multiple- image montages projected simultaneously on three screens.",xxx,xxx,xxx,xxx,330 min,xxx,xxx,xxx
Le mécano de la Générale,8.1,xxx,82.640,Action; Adventu,Clyde Bruckman,Buster Keaton,1h 7min,24 February,1927 (France,xxx,308,"Johnnie loves his train (""The General"") and Annabelle Lee. When the Civil War begins he is turned down for service because he's more valuable as an engineer. Annabelle thinks it's because he's a coward. Union spies capture The General with Annabelle on board. Johnnie must rescue both his loves.",xxx,xxx,xxx,xxx,67 min,xxx,xxx,xxx
Faust,8.1,xxx,14.143,Drama; Fantasy;,F.W. Murnau,Gerhart Hauptmann,1h 47min,20 Septembe, 1926 (Denmark,Universum Film (UFA),70,"God and Satan war over earth; to settle things, they wager on the soul of Faust, a learned and prayerful alchemist. During a plague, Faust despairs and burns his books after failing to stop death; Satan sends Mephisto to tempt Faust, first with insight into treating the plague and then with a day's return to youth. Mephisto is clever, timing the end of this 24 hours as Faust embraces the beautiful Duchess of Parma. Faust trades his soul for youth. Some time later, he's bored, and demands on Easter Sunday that Mephisto take him home. Faust promptly sees and falls in love with the beautiful Gretchen, whose liaison with him brings her dishonor. Is there redemption? Who wins the wager?",xxx,xxx,xxx,xxx,107 min,xxx,xxx,xxx
Les rapaces,8.1,xxx,9.192,Drama; Thriller,Erich von Stroheim,June Mathis,2h 20min,26 January ,925 (USA,xxx,91,"John McTeague was a simple slow man who became a dentist after working at the Big Dipper Gold Mine. He is now being hunted in Death Valley by his ex-best friend Marcus and the law. His lot was cast the day that he meet his future wife Trina in his office. She was with Marcus and she bought a lottery ticket. Well Mac fell for her and Marcus stepped aside. When Mac and Trina married, she won the Lottery for $5000 and became obsessive about the money in gold. Marcus is steamed as he stepped aside and now she is rich so he has the law shut down Mac as he has no official schooling for his dentistry. Trina fearful that they will take her gold away sells everything and takes all Mac earns when he is working. She adds to her stash of gold as they both live as paupers. When Mac has no job and no money, he leaves and Trina moves. Driven to desperation at being poor and hungry he finds Trina and demands the gold.",xxx,xxx,xxx,xxx,140 min,xxx,xxx,xxx
Les Nibelungen: la mort de Siegfried,8.1,xxx,5.322,Adventure; Dram,Fritz Lang,Fritz Lang,2h 23min,1924 (Polan,,Decla-Bioscop AG,31,"Siegfried, son of King Sigmund, hears of the beautiful sister of Gunter, King of Worms, Kriemhild. On his way to Worms, he kills a dragon and finds a treasure, the Hort. He helps Gunther to win Krimhild, a mask that makes him invisible proves to be very useful. But because Brunhild is cursing Kriemhild, she tells her what really happened. Now Brunhild wants Siegfried's head. Is Gunther going to do her that favor?",xxx,xxx,xxx,xxx,143 min,xxx,xxx,xxx
Le dernier des hommes,8.1,xxx,12.939,Drama,F.W. Murnau,Carl Mayer,1h 17min,11 Septembe, 1925 (France,xxx,63,"Emil Jannings is the doorman of the elegant Atlantic Hotel. He is proud of his uniform and function, and respected by his community. When he reaches the old age, he has difficulties to carry trucks and suitcases. The hotel manager decides to change his function to washroom attendant. This apparently simple action is enough to destroy him as a human being. He loses his self-respect and when his neighbor finds that he is janitor of the hotel, he loses the respect of his neighbors and friends.",xxx,xxx,xxx,xxx,77 min,xxx,xxx,xxx
Monte là-dessus!,8.1,xxx,18.793,Action; Comedy;,Fred C. Newmeyer,Hal Roach,1h 14min,1 April 192, (USA,xxx,102,"In 1922, the country boy Harold says goodbye to his mother and his girlfriend Mildred in the train station and leaves Great Bend expecting to be successful in the big city. Harold promises to Mildred to get married with her as soon as he ""make good"". Harold shares a room with his friend ""Limpy"" Bill and he finally gets a job as salesman in the De Vore Department Store. However, he pawns Bill's phonograph, buys a lavaliere and writes to Mildred telling that he is a manager of De Vore. One day, Harold sees an old friend from Great Bend that is a policeman and when he meets his friend Bill, he asks Bill to push the policeman over him and make him fall down. However Bill pushes the wrong policeman that chases him, but he escapes climbing up a building. Out of the blue, Mildred is convinced by her mother to visit Harold without previous notice and he pretends to be the manager of De Vore. When Harold overhears the general manager telling that he would give one thousand dollars to to anyone...",xxx,xxx,xxx,xxx,74 min,xxx,xxx,xxx
La charrette fantôme,8.1,xxx,11.014,Drama; Fantasy;,Victor Sjöström,Selma Lagerlöf,1h 47min,1 January 1,21 (Sweden,Svensk Filmindustri (SF),75,"It's New Year's Eve. Three drunkards evoke a legend. The legend tells that the last person to die in a year, if he is a great sinner, will have to drive during the whole year the Phantom Chariot, the one that picks up the souls of the dead... David Holm, one of the three drunkards, dies at the last stroke of midnight...",xxx,xxx,xxx,xxx,107 min,xxx,xxx,xxx
Le cabinet du docteur Caligari,8.1,xxx,58.392,Fantasy; Horror,Robert Wiene,Carl Mayer,1h 18min,15 March 19,2 (France,xxx,245,"Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. It is the annual fair in Holstenwall. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep. When Alan asks Cesare about his future, Cesare answers that he will die before dawn. The next morning Alan is found dead. Francis suspects Cesare of being the murderer, and starts spying on him and Dr. Caligari. The following night Cesare is going to stab Jane in her bed, but softens when he sees the beautiful woman, and instead of committing another murder, he abducts her. Jane's father awakens because of the noise, and he and some servants follow the fleeing Cesare. When Cesare cannot outrun his pursuers anymore, he gently places Jane down on the ground, and runs away. Francis and the police investigate the caravan of Dr. Caligari, but the ...",xxx,xxx,xxx,xxx,78 min,io: 1.33 : 1,xxx,xxx
Nerkonda Paarvai,8.0,xxx,6.302,Action; Drama;,H. Vinoth,H. Vinoth,2h 37min,8 August 20,9 (France,xxx,195,"A retired lawyer with a sharp eye for details set out to defend three young women falsely implicated in a criminal case. Pitted against some powerful foes and the evils patriarchy, he must fight the legal battle of his life to save this innocent women.",xxx,xxx,xxx,xxx,157 min,xxx,xxx,xxx
Badhaai ho,8.0,xxx,28.845,Comedy; Drama,Amit Ravindernath Sharma,Akshat Ghildial,2h 4min,18 October ,018 (India,See more,243,"Nakul a 25 year old in relationship with Renne and soon plan to marry .His father Jeetender Kaushik works for railways while mother Priyamvada is housewife whose always taunted by his grandmother.When Nakul finds that his mother is pregnant at the age when Nakul is about to marry he starts to avoid their parents ,friends and society.",xxx,xxx,xxx,xxx,124 min,xxx,xxx,xxx
Je veux manger ton pancréas,8.0,xxx,9.332,Animation; Dram,Shin'ichirô Ushijima,Yoru Sumino,1h 49min,1 September,2018 (Japan,xxx,107,"One day, ""Me"" - a highschooler - found a paperback in the hospital. The ""Disease Coexistence Journal"" was its title. It was a diary that ""Me""'s classmate, Sakura Yamauchi, had written in secret. Inside, it was written that due to her pancreatic disease, her days were numbered. And thus, ""Me"" coincidentally went from Just-a-Classmate to a Secret-Knowing-Classmate. It was as if he were being drawn to her, who was his polar opposite. However, the world presented the girl that was already suffering from an illness with an equally cruel reality.",xxx,xxx,xxx,xxx,109 min,io: 1.85 : 1,xxx,xxx
Mukkabaaz,8.0,xxx,6.730,Action; Drama;,Anurag Kashyap,Anudeep Singh,2h 34min,12 January ,018 (India,xxx,75,"A boxer (Shravan) belonging to upper cast, trains at a gym controlled by a local Don (Bhagwan Das Mishra). Shravan falls for Mishra's niece (Sunaina). The Don does not approve of this match because of previous scuffle between Bhagwan and Shravan. Shravan strives to win Sunaina's hand in marriage and becomes a successful boxer while trying to avoid retaliation from the Don.",xxx,xxx,xxx,xxx,154 min,xxx,xxx,xxx
Angamaly Diaries,8.0,xxx,5.110,Action; Comedy;,Lijo Jose Pellissery,Chemban Vinod Jose,2h 12min,3 March 201, (India,Kochi; Kerala; India,36,"Vincent Pepe who wanted to be a powerful leader of a righteous gang that ruled the city, like his seniors. And then there's the rival clan with the malicious gangsters of Angamaly a locale on which the film is based.",xxx,xxx,xxx,xxx,132 min,xxx,xxx,xxx
Togo,8.0,69,40.245,Adventure; Biog,Ericson Core,Tom Flynn,1h 53min,7 April 202, (France,Cochrane; Alberta; Canada,421,"The historical film by the American director Ericson Core, which is dedicated to the events of the Great Mercy Race of 1925. The events of the film unfold around the drover Leonhard Seppala and his dog Togo, who went together the longest leg in the relay.",xxx,xxx,xxx,xxx,113 min,xxx,xxx,xxx
Charlie,8.0,xxx,8.418,Adventure; Dram,Martin Prakkat,Martin Prakkat,2h 10min,24 December,2015 (India,xxx,64,"Charlie is a young guy who always loves traveling and believes in enjoying life to the fullest. He considers life to be a celebration and tries to bring happiness in the lives of people around him. Tessa is a graphic artist with a sensitive outlook towards life. The film depicts the love story of Charlie and Tessa, and how their love influences the lives of the people around them.",xxx,xxx,xxx,xxx,130 min,xxx,xxx,xxx
Uppi 2,8.0,xxx,7.919,Action; Mystery,Upendra,Upendra,2h 15min,14 August 2,15 (India,See more,95,"A psychological thriller which depicts the fact that ""Today is a gift - that's why it's called Present"" in an unusual way. It is about a man called Neenu, who lives in the present. The film takes the audience through a journey of his life by detailing why Neenu lives in the present, by exploring his past and his future - both as seen by different people in Neenu's life. The film also highlights that happiness can be attained by means other than wealth.",xxx,xxx,xxx,xxx,135 min,xxx,xxx,xxx
Airlift,8.0,xxx,53.354,Drama; History,Raja Menon,Raja Menon,2h 10min,22 January ,016 (France,Jaisalmer; Rajasthan; India,211,"It is in this scenario that Ranjit Katyal (played by Akshay Kumar), a wealthy and powerful Indian businessman, who has always seen himself as a Kuwaiti, rather than an Indian, realizes that he no longer wields any influence on the Iraqis, and that he and his family are in as much danger as anyone else. Ranjit unknowingly becomes the man who all 170,000 Indians look up to for getting them out safely from Kuwait. Airlift is the story of Indians stranded in Kuwait during this traumatic time. A story of how they, with the help of Ranjit Katyal, managed to survive the Iraqi invasion, and against all odds traveled a thousand kilometers across the border into Amman, Jordan. From Amman, 170,000 Indians were brought home by the largest and the most successful evacuation ever attempted by any country, in the history of the world. Over 59 days, the Indian government systematically flew over 488 Air India commercial flights into a war zone to evacuate all 170,000 Indians and safely bring them ...",xxx,xxx,xxx,xxx,130 min,io: 2.35 : 1,xxx,xxx
Chaar Sahibzaade,8.0,xxx,7.595,Animation; Hist,Harry Baweja,Harry Baweja,2h 15min,7 November ,014 (France,IMDbPro,71,"The sacrifices of the four sons of Guru Gobind Singh ji (tenth guru of Sikhs) - Baba Ajit Singh ji, Baba Jujhar Singh ji, Baba Zorawar Singh ji and Baba Fateh Singh ji.",xxx,xxx,xxx,xxx,135 min,xxx,xxx,xxx
Bajrangi Bhaijaan,8.0,xxx,73.637,Action; Adventu,Kabir Khan,Vijayendra Prasad,2h 43min,17 July 201, (France,xxx,344,"A little mute girl from a Pakistani village gets lost on her return back from a trip to India. In Kurukshetra, she meets Pawan - an ardent devotee of Lord Hanuman - who is in the midst of a challenge posed by his lover's father. In trying to discover the girl's parents, he develops an unshakable bond with her. He tries to get into Pakistan through a path righteous to his conscience and later, accompanied with a smart Pakistani news reporter - a story that captures the imagination of the public in both countries.",xxx,xxx,xxx,xxx,163 min,xxx,xxx,xxx
