Country Name,gdp_2018,gdp_2017,gdp_2016,gdp_2015,gdp_2014
Libya,"$52,607,888,718","$37,883,243,650","$26,197,143,268","$27,842,131,480","$41,142,722,414"
Serbia,"$50,640,650,221","$44,179,055,280","$40,692,643,373","$39,655,958,843","$47,062,206,678"
Uzbekistan,"$50,392,607,758","$59,159,945,321","$81,779,012,351","$81,847,410,182","$76,658,542,757"
Azerbaijan,"$47,112,941,176","$40,865,558,912","$37,867,518,957","$53,074,370,486","$75,244,294,275"
"Congo, Dem. Rep.","$46,831,342,213","$38,019,265,626","$37,134,799,975","$37,917,704,900","$35,909,040,266"
Jordan,"$42,932,112,676","$41,408,960,787","$39,892,551,149","$38,587,017,944","$36,847,643,587"
Turkmenistan,"$40,761,142,857","$37,926,285,714","$36,180,000,000","$35,799,714,286","$43,524,210,526"
Paraguay,"$40,384,691,791","$39,008,900,332","$36,054,281,572","$36,164,068,797","$40,276,532,541"
Bolivia,"$40,287,647,930","$37,508,642,165","$33,941,126,200","$33,000,198,248","$32,996,188,013"
Tunisia,"$39,770,297,329","$39,802,430,355","$41,801,210,428","$43,173,480,832","$47,632,326,088"
Cameroon,"$38,694,156,863","$35,009,262,788","$32,643,697,596","$30,928,653,814","$34,989,493,826"
Bahrain,"$37,652,500,000","$35,473,776,596","$32,234,973,404","$31,050,638,298","$33,387,712,766"
Latvia,"$34,416,012,859","$30,458,763,246","$28,052,325,862","$27,239,653,844","$31,329,367,173"
Sudan,"$33,128,480,499","$45,021,077,955","$51,772,232,495","$74,294,508,240","$64,941,713,057"
Uganda,"$32,916,147,253","$30,756,466,548","$29,078,719,934","$32,248,116,584","$32,472,363,452"
Estonia,"$30,631,142,227","$26,951,648,829","$24,259,552,889","$23,048,864,243","$26,773,473,625"
Nepal,"$29,173,513,476","$25,180,583,770","$21,185,922,408","$21,410,840,909","$20,002,968,838"
Zambia,"$26,312,140,829","$25,868,165,345","$20,954,754,378","$21,243,339,048","$27,150,728,124"
El Salvador,"$26,117,400,000","$24,979,200,000","$24,191,440,000","$23,438,240,000","$22,593,480,000"
Iceland,"$25,737,594,324","$24,488,176,541","$20,618,363,252","$17,389,101,639","$17,758,050,016"
Cyprus,"$25,309,818,139","$22,729,184,365","$20,953,442,550","$19,842,404,305","$23,156,850,007"
Cambodia,"$24,571,753,583","$22,177,200,512","$20,016,747,754","$18,049,954,289","$16,702,610,842"
Zimbabwe,"$24,311,560,500","$22,040,902,300","$20,548,678,100","$19,963,120,600","$19,495,519,600"
Papua New Guinea,"$24,109,509,856","$22,742,613,549","$20,759,069,105","$21,723,531,182","$23,210,682,537"
Honduras,"$24,024,189,736","$23,136,232,230","$21,717,622,071","$20,979,767,785","$19,756,494,435"
Trinidad And Tobago,"$23,808,146,748","$22,474,828,527","$22,284,780,327","$25,062,893,969","$27,615,843,098"
Yemen,"$23,486,270,352","$26,736,139,802","$30,935,978,724","$42,450,620,876","$43,206,469,767"
Senegal,"$23,236,007,428","$20,996,564,752","$19,040,312,815","$17,774,766,636","$19,797,254,643"
Bosnia,"$20,183,510,561","$18,080,118,128","$16,913,330,694","$16,211,541,820","$18,558,343,508"
Botswana,"$18,663,265,549","$17,405,588,070","$15,646,354,089","$14,420,593,484","$16,250,781,587"
Afghanistan,"$18,353,881,130","$18,869,945,678","$18,017,749,074","$19,907,111,419","$20,484,885,120"
Lao PDR,"$17,953,786,416","$16,853,087,485","$15,805,692,546","$14,390,442,307","$13,268,458,232"
Georgia,"$17,599,700,091","$16,242,916,916","$15,141,758,567","$14,953,950,557","$17,627,003,455"
Mali,"$17,070,758,732","$15,365,627,045","$14,025,944,550","$13,104,802,016","$14,364,859,446"
Gabon,"$16,862,282,414","$14,929,488,771","$14,023,890,620","$14,383,107,714","$18,203,968,002"
West Bank And Gaza,"$16,276,600,000","$16,128,000,000","$15,405,400,000","$13,972,400,000","$13,989,700,000"
Burkina Faso,"$16,059,910,871","$14,106,956,830","$12,833,363,370","$11,832,159,276","$13,943,016,924"
Haiti,"$15,965,670,198","$14,213,814,583","$13,723,267,961","$14,857,386,164","$14,790,765,760"
Jamaica,"$15,713,908,816","$14,806,340,821","$14,075,894,320","$14,187,696,311","$13,897,804,560"
Albania,"$15,147,020,535","$13,019,693,451","$11,861,200,797","$11,386,846,319","$13,228,144,008"
Mozambique,"$14,845,870,051","$13,219,084,261","$11,936,999,283","$15,950,969,019","$17,716,084,108"
Malta,"$14,750,790,658","$13,146,963,159","$11,665,231,192","$11,091,434,435","$11,626,281,450"
Benin,"$14,250,985,959","$12,701,656,931","$11,821,066,153","$11,388,160,958","$13,284,528,654"
Mauritius,"$14,181,951,059","$13,259,351,418","$12,232,463,656","$11,692,287,066","$12,803,445,934"
Madagascar,"$13,853,433,948","$13,176,313,233","$11,848,615,018","$11,323,023,787","$12,522,959,157"
Brunei,"$13,567,351,175","$12,128,104,859","$11,400,854,268","$12,930,394,938","$17,098,342,541"
"Congo, Rep.","$13,518,403,447","$11,198,674,674","$10,335,424,288","$11,953,249,530","$17,783,526,318"
Namibia,"$13,454,211,344","$12,741,746,524","$10,665,634,688","$11,272,143,473","$12,356,482,989"
Equatorial Guinea,"$13,278,488,567","$12,200,914,930","$11,240,809,132","$13,185,496,836","$21,765,454,404"
Mongolia,"$13,108,769,496","$11,425,755,280","$11,186,734,674","$11,749,620,620","$12,226,514,722"
Nicaragua,"$13,063,904,770","$13,785,909,906","$13,286,083,645","$12,756,706,583","$11,880,434,071"
Bahamas,"$13,022,100,000","$12,490,700,000","$11,928,500,000","$11,710,800,000","$11,111,600,000"
Niger,"$12,846,952,857","$11,189,541,083","$10,355,006,770","$9,685,577,941","$10,862,944,204"
North Macedonia,"$12,683,073,866","$11,307,058,382","$10,672,471,861","$10,064,515,432","$11,362,272,838"
Armenia,"$12,457,941,907","$11,527,458,566","$10,546,135,160","$10,553,337,673","$11,609,512,940"
Moldova,"$11,456,717,193","$9,669,759,987","$8,071,480,541","$7,745,231,660","$9,510,219,299"
Chad,"$11,239,167,048","$10,000,395,242","$10,097,778,354","$10,950,392,220","$13,940,768,066"
Guinea,"$10,907,214,994","$10,324,668,267","$8,595,955,581","$8,794,202,444","$8,778,473,615"
Rwanda,"$9,635,951,160","$9,253,098,954","$8,697,268,916","$8,545,441,361","$8,246,166,341"
Kyrgyz Republic,"$8,271,108,638","$7,702,934,800","$6,813,092,066","$6,678,178,340","$7,468,096,567"
Kosovo,"$7,942,961,738","$7,245,707,185","$6,719,172,017","$6,442,915,788","$7,396,705,195"
Tajikistan,"$7,522,947,810","$7,157,865,188","$6,952,678,127","$7,854,602,392","$9,112,544,556"
Isle Of Man,"$7,491,969,313","$6,979,581,725","$6,846,691,871","$7,085,288,006","$7,708,834,951"
Bermuda,"$7,224,329,000","$7,142,316,000","$6,899,911,000","$6,654,541,000","$6,413,988,000"
Monaco,"$7,188,238,073","$6,431,314,957","$6,472,990,923","$6,261,622,101","$7,069,616,049"
Mauritania,"$7,049,169,771","$6,758,390,729","$6,398,744,505","$6,166,857,629","$6,592,537,782"
Malawi,"$6,917,301,909","$6,303,292,264","$5,433,040,160","$6,373,212,641","$6,047,813,437"
Liechtenstein,"$6,876,981,286","$6,552,858,739","$6,237,264,055","$6,268,391,521","$6,657,170,923"
Guam,"$5,920,000,000","$5,851,000,000","$5,795,000,000","$5,710,000,000","$5,538,000,000"
Fiji,"$5,581,393,121","$5,353,404,419","$4,930,204,220","$4,682,546,881","$4,856,963,252"
Cayman Islands,"$5,517,361,238","$5,153,091,158","$4,909,498,943","$4,708,336,756","$4,563,017,852"
Montenegro,"$5,504,255,214","$4,844,606,146","$4,373,958,354","$4,053,097,851","$4,587,741,791"
Togo,"$5,364,369,026","$4,819,949,975","$4,486,979,198","$4,180,866,177","$4,574,986,537"
Maldives,"$5,299,773,145","$4,754,352,301","$4,379,115,588","$4,109,447,297","$3,697,351,594"
Barbados,"$5,086,500,000","$4,978,000,000","$4,830,000,000","$4,715,000,000","$4,696,500,000"
Guyana,"$4,787,635,821","$4,748,174,334","$4,482,697,337","$4,279,840,362","$4,127,664,336"
Eswatini,"$4,665,424,249","$4,402,973,000","$3,816,018,485","$4,062,660,890","$4,422,304,975"
Sierra Leone,"$4,085,114,794","$3,739,577,973","$3,674,794,530","$4,218,723,875","$5,015,157,816"
Suriname,"$3,464,656,616","$3,216,207,914","$3,128,953,537","$4,787,367,928","$5,240,606,061"
Liberia,"$3,264,000,000","$3,285,455,000","$3,277,826,000","$3,177,000,000","$3,144,000,000"
Andorra,"$3,218,316,013","$3,000,180,750","$2,896,679,212","$2,789,870,188","$3,271,808,157"
Curacao,"$3,127,908,045","$3,116,610,112","$3,122,287,933","$3,151,910,782","$3,158,406,034"
Faroe Islands,"$3,116,887,847","$2,905,102,304","$2,738,832,687","$2,518,096,286","$2,850,743,875"
Greenland,"$3,051,626,390","$2,826,651,926","$2,707,146,783","$2,499,115,623","$2,842,048,998"
Burundi,"$3,036,931,818","$3,172,292,379","$2,959,640,987","$3,104,394,858","$2,705,783,272"
Djibouti,"$3,012,820,410","$2,751,461,056","$2,603,554,907","$2,430,287,967","$2,214,681,574"
Lesotho,"$2,575,892,262","$2,405,289,384","$2,165,408,359","$2,372,280,103","$2,499,803,984"
Bhutan,"$2,446,866,405","$2,450,364,928","$2,158,972,129","$2,003,598,213","$1,907,090,813"
Central African Republic,"$2,220,978,978","$2,072,350,151","$1,825,018,191","$1,695,825,708","$1,894,813,505"
St. Lucia,"$2,065,875,074","$1,999,090,407","$1,865,375,222","$1,808,079,889","$1,755,130,815"
Cabo Verde,"$1,966,983,317","$1,769,787,215","$1,662,998,678","$1,596,800,287","$1,859,898,513"
Belize,"$1,871,200,000","$1,836,600,000","$1,775,100,000","$1,723,800,000","$1,662,800,000"
Gambia,"$1,670,670,669","$1,504,909,753","$1,484,579,844","$1,378,176,868","$1,229,460,602"
San Marino,"$1,655,300,873","$1,528,630,707","$1,468,377,272","$1,419,394,771","$1,673,973,695"
Antigua And Barbuda,"$1,605,351,852","$1,467,977,778","$1,436,585,185","$1,336,692,593","$1,249,733,333"
Solomon Islands,"$1,593,964,162","$1,483,758,907","$1,378,551,118","$1,307,061,544","$1,335,538,893"
Seychelles,"$1,586,009,000","$1,524,486,800","$1,426,651,769","$1,377,495,054","$1,343,007,845"
Timor-Leste,"$1,559,894,900","$1,599,338,100","$1,650,608,600","$1,594,410,800","$1,447,311,400"
Guinea-Bissau,"$1,458,868,242","$1,350,177,128","$1,179,004,941","$1,048,229,629","$1,054,915,645"
Northern Mariana Islands,"$1,323,000,000","$1,601,000,000","$1,250,000,000","$931,000,000","$845,000,000"
Sint Maarten (Dutch Part),"$1,185,474,860","$1,191,620,112","$1,263,687,151","$1,253,072,626","$1,245,251,397"
Comoros,"$1,178,530,758","$1,077,439,663","$1,012,835,518","$966,029,542","$1,149,587,652"
Grenada,"$1,168,696,296","$1,125,685,185","$1,061,631,222","$997,007,926","$911,497,407"
Turks And Caicos Islands,"$1,113,178,000","$1,022,365,000","$1,032,452,000","$942,070,000","$841,070,000"
St. Kitts And Nevis,"$1,010,822,222","$996,944,444","$971,166,667","$923,155,556","$916,566,667"
Vanuatu,"$914,700,508","$880,043,554","$804,332,796","$759,689,951","$814,954,307"
Samoa,"$821,496,065","$832,153,613","$799,376,440","$788,307,331","$756,919,917"
St. Vincent And The Grenadines,"$811,300,000","$792,177,778","$774,429,630","$755,400,000","$727,714,815"
American Samoa,"$636,000,000","$602,000,000","$652,000,000","$661,000,000","$642,000,000"
Dominica,"$551,074,074","$519,837,037","$576,229,630","$540,737,037","$520,207,407"
Tonga,"$489,235,527","$460,379,145","$420,540,179","$437,006,227","$439,878,828"
Sao Tome And Principe,"$412,261,830","$375,614,556","$345,495,358","$316,065,370","$346,527,950"
Micronesia,"$401,932,300","$366,666,800","$332,265,200","$316,489,900","$319,271,200"
Palau,"$280,435,700","$286,106,800","$295,065,400","$280,457,700","$241,669,800"
Marshall Islands,"$221,278,000","$212,881,000","$200,558,400","$184,599,600","$184,689,500"
Kiribati,"$196,737,896","$187,276,211","$178,328,873","$171,117,872","$179,703,443"
Nauru,"$124,021,394","$109,585,942","$100,087,349","$86,779,266","$104,654,365"
Tuvalu,"$42,588,165","$40,619,252","$36,547,800","$35,492,074","$37,290,608"
South Sudan,$0,$0,$0,"$11,997,800,760","$13,962,212,847"
Aruba,$0,"$3,056,424,581","$2,965,921,788","$2,919,553,073","$2,765,363,128"
Venezuela,$0,$0,$0,$0,"$482,359,318,768"
Virgin Islands (U.S.),$0,"$3,855,000,000","$3,863,000,000","$3,748,000,000","$3,622,000,000"
