Country Name,manufact_2018,manufact_2017,manufact_2016,manufact_2015,manufact_2014
Kyrgyz Republic,"$1,179,829,257","$1,154,733,710","$1,051,550,403","$938,335,859","$1,021,351,584"
Guinea,"$1,152,913,385","$1,034,695,316","$939,252,394","$1,065,746,203","$972,874,169"
Afghanistan,"$1,130,631,603","$666,188,801","$741,285,622","$2,273,393,319","$2,351,170,625"
Malta,"$1,093,085,850","$944,795,224","$837,583,142","$826,111,915","$990,932,025"
Mali,"$1,073,713,115","$931,817,242","$772,573,868","$842,130,546","$1,002,851,588"
"Congo, Rep.","$1,014,214,219","$1,221,358,422","$1,081,468,034","$933,372,728","$1,067,413,305"
Botswana,"$960,261,020","$890,512,332","$812,708,335","$833,417,376","$862,322,880"
Albania,"$931,222,752","$801,771,620","$674,240,893","$645,803,923","$704,507,395"
Niger,"$911,205,248","$846,332,665","$776,977,302","$739,268,184","$921,525,787"
Kosovo,"$899,385,923","$790,894,713","$736,993,580","$694,330,412","$764,979,407"
Tajikistan,"$789,909,520","$715,873,072","$675,829,856","$683,211,371","$694,163,156"
Rwanda,"$729,904,495","$710,440,567","$588,664,487","$589,106,542","$565,846,417"
Fiji,"$579,769,455","$559,223,668","$538,960,567","$491,487,605","$517,466,409"
Mauritania,"$550,688,383","$521,351,510","$391,036,720","$458,712,177","$488,776,943"
San Marino,"$532,819,025","$437,986,759","$419,846,103","$404,308,042",$0
Suriname,"$508,676,717","$507,899,622","$420,319,173","$473,849,036","$856,969,697"
Lesotho,"$418,612,813","$361,965,265","$353,144,144","$357,025,590","$299,042,155"
Papua New Guinea,"$415,711,753","$442,420,410","$400,941,193","$386,050,936","$493,976,501"
Central African Republic,"$402,697,650","$382,150,072","$355,042,207","$334,839,449","$330,516,632"
Togo,"$353,213,084","$313,982,699","$316,227,184","$284,591,797","$339,571,688"
Chad,"$323,002,845","$292,582,519","$298,400,087","$304,233,661","$374,726,612"
Bahamas,"$300,600,000","$383,200,000","$393,400,000","$291,400,000","$295,200,000"
Macao,"$296,562,403","$281,460,254","$270,165,476","$271,258,610","$230,997,483"
Curacao,"$278,624,302","$315,375,754","$321,444,134","$340,120,503","$267,561,955"
Guyana,"$223,504,070","$227,402,735","$222,644,068","$254,182,764","$249,567,448"
Montenegro,"$219,268,164","$186,382,106","$163,390,775","$165,718,976","$178,005,213"
